# cobo asad aget ch glob lsb
0 0 0 0 1 15
0 0 0 1 1 15
0 0 0 2 1 15
0 0 0 3 1 15
0 0 0 4 1 15
0 0 0 5 1 15
0 0 0 6 1 15
0 0 0 7 1 15
0 0 0 8 1 15
0 0 0 9 1 15
0 0 0 10 1 15
0 0 0 11 1 15
0 0 0 12 1 15
0 0 0 13 1 15
0 0 0 14 1 15
0 0 0 15 1 15
0 0 0 16 1 15
0 0 0 17 1 15
0 0 0 18 1 15
0 0 0 19 1 15
0 0 0 20 1 15
0 0 0 21 1 15
0 0 0 22 1 15
0 0 0 23 1 15
0 0 0 24 1 15
0 0 0 25 1 15
0 0 0 26 1 15
0 0 0 27 1 15
0 0 0 28 1 15
0 0 0 29 1 15
0 0 0 30 1 15
0 0 0 31 1 15
0 0 0 32 1 0
0 0 0 33 1 15
0 0 0 34 1 15
0 0 0 35 1 15
0 0 0 36 1 15
0 0 0 37 1 15
0 0 0 38 1 15
0 0 0 39 1 15
0 0 0 40 1 15
0 0 0 41 1 15
0 0 0 42 1 15
0 0 0 43 1 15
0 0 0 44 1 15
0 0 0 45 1 15
0 0 0 46 1 15
0 0 0 47 1 15
0 0 0 48 1 15
0 0 0 49 1 15
0 0 0 50 1 15
0 0 0 51 1 15
0 0 0 52 1 15
0 0 0 53 1 15
0 0 0 54 1 15
0 0 0 55 1 15
0 0 0 56 1 15
0 0 0 57 1 15
0 0 0 58 1 15
0 0 0 59 1 15
0 0 0 60 1 15
0 0 0 61 1 15
0 0 0 62 1 15
0 0 0 63 1 15
0 0 0 64 1 15
0 0 0 65 1 15
0 0 0 66 1 15
0 0 0 67 1 15
0 0 1 0 2 3
0 0 1 1 2 1
0 0 1 2 2 1
0 0 1 3 2 1
0 0 1 4 2 1
0 0 1 5 2 2
0 0 1 6 2 3
0 0 1 7 2 15
0 0 1 8 2 2
0 0 1 9 2 2
0 0 1 10 2 2
0 0 1 11 2 15
0 0 1 12 2 2
0 0 1 13 2 1
0 0 1 14 2 0
0 0 1 15 2 0
0 0 1 16 2 0
0 0 1 17 2 0
0 0 1 18 2 0
0 0 1 19 2 0
0 0 1 20 2 0
0 0 1 21 2 0
0 0 1 22 2 15
0 0 1 23 2 0
0 0 1 24 2 0
0 0 1 25 2 1
0 0 1 26 2 1
0 0 1 27 2 1
0 0 1 28 2 0
0 0 1 29 2 3
0 0 1 30 2 15
0 0 1 31 2 1
0 0 1 32 2 1
0 0 1 33 2 1
0 0 1 34 2 1
0 0 1 35 2 1
0 0 1 36 2 1
0 0 1 37 2 1
0 0 1 38 2 15
0 0 1 39 2 15
0 0 1 40 2 15
0 0 1 41 2 15
0 0 1 42 2 15
0 0 1 43 2 15
0 0 1 44 2 15
0 0 1 45 2 15
0 0 1 46 2 15
0 0 1 47 2 15
0 0 1 48 2 15
0 0 1 49 2 15
0 0 1 50 2 15
0 0 1 51 2 15
0 0 1 52 2 15
0 0 1 53 2 15
0 0 1 54 2 15
0 0 1 55 2 15
0 0 1 56 2 15
0 0 1 57 2 15
0 0 1 58 2 15
0 0 1 59 2 15
0 0 1 60 2 15
0 0 1 61 2 15
0 0 1 62 2 15
0 0 1 63 2 15
0 0 1 64 2 15
0 0 1 65 2 15
0 0 1 66 2 15
0 0 1 67 2 15
0 0 2 0 1 11
0 0 2 1 1 15
0 0 2 2 1 15
0 0 2 3 1 14
0 0 2 4 1 15
0 0 2 5 1 9
0 0 2 6 1 9
0 0 2 7 1 10
0 0 2 8 1 10
0 0 2 9 1 10
0 0 2 10 1 10
0 0 2 11 1 15
0 0 2 12 1 11
0 0 2 13 1 15
0 0 2 14 1 15
0 0 2 15 1 15
0 0 2 16 1 15
0 0 2 17 1 15
0 0 2 18 1 15
0 0 2 19 1 15
0 0 2 20 1 15
0 0 2 21 1 15
0 0 2 22 1 15
0 0 2 23 1 15
0 0 2 24 1 15
0 0 2 25 1 15
0 0 2 26 1 15
0 0 2 27 1 15
0 0 2 28 1 15
0 0 2 29 1 15
0 0 2 30 1 15
0 0 2 31 1 15
0 0 2 32 1 15
0 0 2 33 1 15
0 0 2 34 1 15
0 0 2 35 1 15
0 0 2 36 1 15
0 0 2 37 1 15
0 0 2 38 1 15
0 0 2 39 1 15
0 0 2 40 1 15
0 0 2 41 1 15
0 0 2 42 1 15
0 0 2 43 1 15
0 0 2 44 1 15
0 0 2 45 1 15
0 0 2 46 1 15
0 0 2 47 1 15
0 0 2 48 1 15
0 0 2 49 1 15
0 0 2 50 1 15
0 0 2 51 1 15
0 0 2 52 1 15
0 0 2 53 1 15
0 0 2 54 1 15
0 0 2 55 1 15
0 0 2 56 1 15
0 0 2 57 1 15
0 0 2 58 1 15
0 0 2 59 1 15
0 0 2 60 1 15
0 0 2 61 1 15
0 0 2 62 1 15
0 0 2 63 1 15
0 0 2 64 1 15
0 0 2 65 1 15
0 0 2 66 1 15
0 0 2 67 1 15
0 0 3 0 1 10
0 0 3 1 1 15
0 0 3 2 1 15
0 0 3 3 1 0
0 0 3 4 1 15
0 0 3 5 1 11
0 0 3 6 1 9
0 0 3 7 1 10
0 0 3 8 1 11
0 0 3 9 1 11
0 0 3 10 1 11
0 0 3 11 1 15
0 0 3 12 1 12
0 0 3 13 1 15
0 0 3 14 1 15
0 0 3 15 1 15
0 0 3 16 1 15
0 0 3 17 1 15
0 0 3 18 1 15
0 0 3 19 1 15
0 0 3 20 1 15
0 0 3 21 1 15
0 0 3 22 1 15
0 0 3 23 1 15
0 0 3 24 1 15
0 0 3 25 1 15
0 0 3 26 1 15
0 0 3 27 1 15
0 0 3 28 1 15
0 0 3 29 1 15
0 0 3 30 1 15
0 0 3 31 1 15
0 0 3 32 1 15
0 0 3 33 1 15
0 0 3 34 1 15
0 0 3 35 1 15
0 0 3 36 1 15
0 0 3 37 1 15
0 0 3 38 1 15
0 0 3 39 1 15
0 0 3 40 1 15
0 0 3 41 1 15
0 0 3 42 1 15
0 0 3 43 1 15
0 0 3 44 1 15
0 0 3 45 1 15
0 0 3 46 1 15
0 0 3 47 1 15
0 0 3 48 1 15
0 0 3 49 1 15
0 0 3 50 1 15
0 0 3 51 1 15
0 0 3 52 1 15
0 0 3 53 1 15
0 0 3 54 1 15
0 0 3 55 1 15
0 0 3 56 1 15
0 0 3 57 1 15
0 0 3 58 1 15
0 0 3 59 1 15
0 0 3 60 1 15
0 0 3 61 1 15
0 0 3 62 1 15
0 0 3 63 1 15
0 0 3 64 1 15
0 0 3 65 1 15
0 0 3 66 1 15
0 0 3 67 1 15
0 1 0 0 2 3
0 1 0 1 2 3
0 1 0 2 2 3
0 1 0 3 2 2
0 1 0 4 2 2
0 1 0 5 2 3
0 1 0 6 2 3
0 1 0 7 2 3
0 1 0 8 2 2
0 1 0 9 2 3
0 1 0 10 2 2
0 1 0 11 2 15
0 1 0 12 2 15
0 1 0 13 2 2
0 1 0 14 2 2
0 1 0 15 2 2
0 1 0 16 2 2
0 1 0 17 2 2
0 1 0 18 2 2
0 1 0 19 2 2
0 1 0 20 2 2
0 1 0 21 2 2
0 1 0 22 2 15
0 1 0 23 2 2
